colony_id,species,treatment,number,sample,recovered,sym_count_date,initials,squares_counted,count1,count2,count3,count4,count5,count6,count7,count8,average_per_square,st_dev_per_square,cv,,,,,,,
OFRA_PP_8CX24,OFRA,PP,31,8CX24,p,10/3/22,CE,2,102,94,108,103,102,107,,,51.33333333,2.483277404,4.837553385,,,,,,,
OFRA_PP_8HS21,OFRA,PP,32,8HS21,p,10/17/22,CE,2,107,103,121,119,134,154,116,134,61.75,8.293715349,13.43111797,,,,,,,
OFRA_PP_8HS23,OFRA,PP,33,8HS23,p,10/25/22,TL,2,223,224,209,156,232,175,177,,99.71428571,14.85725733,14.89982826,,,,,,,
OFRA_PP_8HS24,OFRA,PP,34,8HS24,p,10/26/22,TC,2,152,134,146,157,132,140,,,71.75,4.977449146,6.937211353,,,,,,,
OFRA_PP_9CX5,OFRA,PP,35,9CX5,p1,10/26/22,TC,2,108,104,121,110,103,112,,,54.83333333,3.265986324,5.956206061,,,,,,,
OFRA_PP_9CX5,OFRA,PP,35,9CX5,p2,10/24/22,CE,2,110,99,107,90,99,118,,,51.91666667,4.933727462,9.50316686,,,,,,,
OFRA_PP_9GT30,OFRA,PP,37,9GT30,p1,10/24/22,CE,3,124,114,102,149,116,132,,,40.94444444,5.43411719,13.27192801,,,,,,,
OFRA_PP_9GT30,OFRA,PP,37,9GT30,p2,10/3/22,CE,2,133,96,111,123,119,115,,,58.08333333,6.216242166,10.70228206,,,,,,,
OFRA_PS_0CX4,OFRA,PS,1,0CX4,p,7/6/22,TL,3,132,146,138,144,126,158,,,46.88888889,3.763371223,8.026147158,,,,,,,
OFRA_PS_0CX5,OFRA,PS,2,0CX5,p,10/24/22,TL,4,106,105,86,96,94,108,,,24.79166667,2.147188084,8.660926724,,,,,,,
OFRA_PS_0GT1,OFRA,PS,3,0GT1,p,7/5/22,WD,2,108,95,117,99,103,106,,,52.33333333,3.829708431,7.317914199,Labeled as 0HS1 on the side,,,,,,
OFRA_PS_0GT3,OFRA,PS,4,0GT3,p,7/21/22,TL,2,127,128,121,89,103,120,,,57.33333333,7.724420151,13.47282584,,,,,,,
OFRA_PS_0GT5,OFRA,PS,5,0GT5,p1,7/25/22,WD,3,100,80,83,74,78,69,,,26.88888889,3.550691117,13.20504961,,,,,,,
OFRA_PS_0GT5,OFRA,PS,5,0GT5,p2,10/5/22,TC,2,131,135,146,163,172,148,,,74.58333333,7.920963746,10.62028659,,,,,,,
OFRA_PS_1GT37,OFRA,PS,7,1GT37,p,,,,,,,,,,,,#DIV/0!,#DIV/0!,#DIV/0!,,,,,,,
OFRA_PS_1GT42,OFRA,PS,8,1GT42,p,10/5/22,TC,2,119,110,121,147,145,153,,,66.25,8.965210539,13.53239327,,,,,,,
OFRA_PS_1GT43,OFRA,PS,9,1GT43,p,7/28/22,TL,4,86,81,84,74,68,86,,,19.95833333,1.83314393,9.184854762,,,,,,,
OFRA_PS_2CX10,OFRA,PS,10,2CX10,p,10/5/22,TC,2,137,151,142,160,175,172,,,78.08333333,7.793694032,9.981251695,,,,,,,
OFRA_PS_2CX12,OFRA,PS,12,2CX12,p,7/26/22,TL,3,141,137,131,165,140,143,,,47.61111111,3.878239387,8.145660322,,,,,,,
OFRA_PS_2CX13,OFRA,PS,13,2CX13,p,9/26/22,CE,4,77,70,78,85,61,87,,,19.08333333,2.416954006,12.66526117,,,,,,,
OFRA_PS_2CX8,OFRA,PS,14,2CX8,p,10/25/22,TL,4,92,117,106,120,113,135,,,28.45833333,3.596584027,12.63806979,,,,,,,
OFRA_PS_2GT10,OFRA,PS,15,2GT10,p,7/28/22,TL,2,117,105,147,146,128,131,,,64.5,8.179242019,12.68099538,,,,,,,
OFRA_PS_2GT3,OFRA,PS,16,2GT3,p,10/25/22,TL,2,179,154,169,201,209,163,,,89.58333333,10.87389841,12.1383052,,,,,,,
OFRA_PS_2GT30,OFRA,PS,Others,2GT30,p might be 2GT38 ,10/24/22,TL,4,71,70,89,86,71,78,,,19.375,2.078160244,10.72598836,,,,,,,
OFRA_PS_2GT31,OFRA,PS,17,2GT31,p,7/26/22,TL,3,148,144,184,169,157,164,,,53.66666667,4.889898886,9.11161283,,,,,,,
OFRA_PS_2GT41,OFRA,PS,19,2GT41,p,10/3/22,TC,2,106,107,121,107,86,95,,,51.83333333,5.980523946,11.53798832,,,,,,,
OFRA_PS_2GT7,OFRA,PS,20,2GT7,p,7/5/22,WD,4,129,128,123,112,114,97,,,29.29166667,3.030745233,10.34678316,,,,,,,
OFRA_PS_2HS11,OFRA,PS,21,2HS11,p,7/28/22,TL,3,113,122,139,128,114,98,,,39.66666667,4.695151163,11.83651554,,,,,,,
OFRA_PS_2HS17,OFRA,PS,22,2HS17,p,7/28/22,TL,3,127,115,122,130,118,150,,,42.33333333,4.184627954,9.884947922,,,,,,,
OFRA_PS_2HS27,OFRA,PS,23,2HS27,p,10/25/22,TL,2,153,134,135,133,124,120,,,66.58333333,5.722033438,8.593792398,,,,,,,
OFRA_PS_2HS9,OFRA,PS,24,2HS9,p,7/26/22,TL,4,116,130,102,103,110,111,,,28,2.564176281,9.157772432,,,,,,,
OFRA_PS_4CX12,OFRA,PS,25,4CX12,p,10/25/22,TL,2,189,166,154,159,142,160,,,80.83333333,7.814516406,9.667442977,,,,,,,
OFRA_PS_4HS13,OFRA,PS,26,4HS13,p,7/21/22,TL,4,141,132,141,155,117,114,,,33.33333333,3.920034013,11.76010204,,,,,,,
OFRA_PS_4HS15,OFRA,PS,27,4HS15,p,10/24/22,TL,4,88,102,79,78,69,98,,,21.41666667,3.172801076,14.81463537,,,,,,,
OFRA_PS_6CX18,OFRA,PS,28,6CX18,p,7/21/22,TL,3,116,111,100,124,122,123,,,38.66666667,3.091206165,7.994498703,,,,,,,
OFRA_PS_6EV18,OFRA,PS,29,6EV18,Maybe?,10/3/22,TC,2,168,127,120,162,120,119,133,123,67,9.87059124,14.73222573,,,,,,,
OFRA_PS_6GT17,OFRA,PS,30,6GT17,p,7/25/22,WD,4,91,91,87,92,88,72,,,21.70833333,1.880270371,8.661514183,,,,,,,
OFRA_PS_8CX24,OFRA,PS,31,8CX24,p,10/14/22,CE,3,129,118,157,160,149,137,,,47.22222222,5.512275863,11.67305477,,,,,,,
OFRA_PS_8HS23,OFRA,PS,33,8HS23,p,7/5/22,WD,2,100,87,95,84,81,93,,,45,3.605551275,8.012336168,,,,,,,
OFRA_PS_8HS24,OFRA,PS,34,8HS24,p,10/25/22,TL,4,93,78,85,86,107,92,,,22.54166667,2.466863731,10.94357293,,,,,,,
OFRA_PS_9CX5,OFRA,PS,35,9CX5,p,7/6/22,TL,2,140,151,120,132,135,115,,,66.08333333,6.583438818,9.962328602,,,,,,,
OFRA_PS_9CX6,OFRA,PS,36,9CX6,p,7/21/22,TL,3,148,156,208,191,160,160,,,56.83333333,7.836524173,13.78860558,,,,,,,
OFRA_PS_9GT30,OFRA,PS,37,9GT30,p,7/6/22,TL,4,70,58,55,64,57,52,,,14.83333333,1.64062996,11.0604267,,,,,,,
OFRA_PS_9GT47,OFRA,PS,38,9GT47,p,7/6/22,TL,3,181,165,157,129,126,149,,,50.38888889,7.062944512,14.01686893,,,,,,,
PRACTICE_30OA1_44685,PRACTICE,30OA1,,,,5/4/22,TL,4,77,90,82,67,69,64,64,,18.32142857,2.49880924,13.6387249,,,,,,,
PRACTICE_55SS1T_,PRACTICE,55SS1T,,,,,,,,,,,,,,,#DIV/0!,#DIV/0!,#DIV/0!,,,,,,,
PRACTICE_Branching_Pavona_,PRACTICE,Branching_Pavona,,,,,,,,,,,,,,,#DIV/0!,#DIV/0!,#DIV/0!,,,,,,,
PRACTICE_Green_Encrusting_Pavona_,PRACTICE,Green_Encrusting_Pavona,,,,,,,,,,,,,,,#DIV/0!,#DIV/0!,#DIV/0!,,,,,,,
PRACTICE_Pagoda_Cup_,PRACTICE,Pagoda_Cup,,,,,,,,,,,,,,,#DIV/0!,#DIV/0!,#DIV/0!,,,,,,,
PRACTICE_Tangerine_Leoptoseris_,PRACTICE,Tangerine_Leoptoseris,,,,5/4/22,TL,4,76,71,80,77,79,87,,,19.58333333,1.319722193,6.739006943,,,,,,,
,,,,,,,,,,,,,,,,,#DIV/0!,#DIV/0!,#DIV/0!,,,,,,,
,,,,,,,,,,,,,,,,,#DIV/0!,#DIV/0!,#DIV/0!,,,,,,,
,,,,,,,,,,,,,,,,,#DIV/0!,#DIV/0!,#DIV/0!,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,Good,Bad (more than 15),Really bad (more than 20),Uncounted
,,,,,,,,,,,,,,,,,,,,40,,OFAV PP,36,3,1,0
,,,,,,,,,,,,,,,,,,,,39,,OFAV PS,39,0,0,0
,,,,,,,,,,,,,,,,,,,,33,,OFAV SP,11,3,2,17
,,,,,,,,,,,,,,,,,,,,38,,OFAV SS,37,1,0,0
,,,,,,,,,,,,,,,,,,,,71,,OFRA PP,35,0,35,1
,,,,,,,,,,,,,,,,,,,,36,,OFRA PS,35,0,0,1
,,,,,,,,,,,,,,,,,,,,,,TOTALS,193,7,38,19
