Datetime,Date,Time,Type,No.,1:F,1:Fm',1:PAR,1:Y (II),1:Depth,Light CRRX,Depth CRRX,Coral,Variable,Site
28:05.0,7/19/21,10:28:05,F,774,450,1080,185,0.583,-1,243,4.7,10 PS Ofav,ÆF/Fm',Shallow
28:13.0,7/19/21,10:28:13,F,775,433,922,193,0.53,-1,254,4.7,10 PS Ofav,ÆF/Fm',Shallow
28:20.0,7/19/21,10:28:20,F,776,498,1169,202,0.574,-0.9,266,4.6,10 PS Ofav,ÆF/Fm',Shallow
28:27.0,7/19/21,10:28:27,F,777,408,1001,217,0.592,-0.9,286,4.6,10 PS Ofav,ÆF/Fm',Shallow
28:35.0,7/19/21,10:28:35,F,778,441,1236,276,0.643,-1.1,363,4.8,10 PS Ofav,ÆF/Fm',Shallow
28:41.0,7/19/21,10:28:41,F,779,450,1259,297,0.643,-1.1,391,4.8,10 PS Ofav,ÆF/Fm',Shallow
28:47.0,7/19/21,10:28:47,F,780,369,1036,284,0.644,-1,374,4.7,10 PS Ofav,ÆF/Fm',Shallow
28:54.0,7/19/21,10:28:54,F,781,528,1179,246,0.552,-0.9,324,4.6,10 PS Ofav,ÆF/Fm',Shallow
28:59.0,7/19/21,10:28:59,F,782,438,1001,228,0.562,-1,300,4.7,10 PS Ofav,ÆF/Fm',Shallow
33:32.0,7/19/21,10:33:31,C,,MI=3;SI=10;SW=0.8;AI=1;AW=0:30;AF=1.00;G=2;D=1;EF=0.84;FO=7;CW=1:00;CI=1;LW=0:10;LI=3;ID=0:45;IW=0:20;DO0.0;DG1.00;LO=0;LG=1.12 ,,,,,0,3.7,,ÆF/Fm',Shallow
33:32.0,7/19/21,10:33:32,F,784,4,5,490,-,-1.1,645,4.8,5 SS Ofav,ÆF/Fm',Shallow
33:41.0,7/19/21,10:33:41,F,785,395,1213,345,0.674,-1.1,454,4.8,5 SS Ofav,ÆF/Fm',Shallow
33:48.0,7/19/21,10:33:48,F,786,432,1365,364,0.684,-1.1,479,4.8,5 SS Ofav,ÆF/Fm',Shallow
33:54.0,7/19/21,10:33:54,F,787,422,1064,381,0.603,-1,501,4.7,5 SS Ofav,ÆF/Fm',Shallow
34:02.0,7/19/21,10:34:02,F,788,464,1454,343,0.681,-1.2,451,4.9,5 SS Ofav,ÆF/Fm',Shallow
34:06.0,7/19/21,10:34:06,F,789,5,5,341,-,-1.1,449,4.8,5 SS Ofav,ÆF/Fm',Shallow
34:14.0,7/19/21,10:34:14,F,790,389,1113,387,0.65,-1.1,509,4.8,5 SS Ofav,ÆF/Fm',Shallow
34:24.0,7/19/21,10:34:24,F,791,403,1031,353,0.609,-1.1,465,4.8,5 SS Ofav,ÆF/Fm',Shallow
34:34.0,7/19/21,10:34:34,F,792,406,955,177,0.575,-1,233,4.7,5 SS Ofav,ÆF/Fm',Shallow
34:45.0,7/19/21,10:34:45,F,793,371,1027,275,0.639,-1,362,4.7,5 SS Ofav,ÆF/Fm',Shallow
34:53.0,7/19/21,10:34:53,F,794,381,1024,218,0.628,-0.9,287,4.6,5 SS Ofav,ÆF/Fm',Shallow
34:58.0,7/19/21,10:34:58,F,795,457,1393,215,0.672,-1.2,283,4.9,5 SS Ofav,ÆF/Fm',Shallow
35:04.0,7/19/21,10:35:04,F,796,3,4,180,-,-1.1,237,4.8,5 SS Ofav,ÆF/Fm',Shallow
35:08.0,7/19/21,10:35:08,F,797,5,5,173,-,-1,228,4.7,5 SS Ofav,ÆF/Fm',Shallow
35:15.0,7/19/21,10:35:15,F,798,477,1430,320,0.666,-1.2,421,4.9,5 SS Ofav,ÆF/Fm',Shallow
35:22.0,7/19/21,10:35:22,F,799,5,5,435,-,-1,572,4.7,5 SS Ofav,ÆF/Fm',Shallow
35:29.0,7/19/21,10:35:29,F,800,261,1274,420,0.795,-1.1,553,4.8,5 SS Ofav,ÆF/Fm',Shallow
35:34.0,7/19/21,10:35:34,F,801,365,931,396,0.608,-1.3,521,5,5 SS Ofav,ÆF/Fm',Shallow
35:46.0,7/19/21,10:35:46,F,802,362,1097,326,0.67,-1.1,429,4.8,5 SS Ofav,ÆF/Fm',Shallow
35:51.0,7/19/21,10:35:51,F,803,4,4,270,-,-1,355,4.7,5 SS Ofav,ÆF/Fm',Shallow
35:56.0,7/19/21,10:35:56,F,804,5,5,268,-,-1.1,353,4.8,5 SS Ofav,ÆF/Fm',Shallow
36:03.0,7/19/21,10:36:03,F,805,5,5,383,-,-0.9,504,4.6,5 SS Ofav,ÆF/Fm',Shallow
36:11.0,7/19/21,10:36:11,F,806,378,968,358,0.61,-0.9,471,4.6,5 SS Ofav,ÆF/Fm',Shallow
36:24.0,7/19/21,10:36:24,F,807,462,1291,124,0.642,-1.1,163,4.8,5 SS Ofav,ÆF/Fm',Shallow
36:34.0,7/19/21,10:36:34,F,808,418,1124,196,0.628,-0.7,258,4.4,5 SS Ofav,ÆF/Fm',Shallow
36:56.0,7/19/21,10:36:56,F,809,385,1241,38,0.69,-0.9,50,4.6,5 SS Ofav,ÆF/Fm',Shallow
37:02.0,7/19/21,10:37:02,F,810,355,867,67,0.591,-0.9,88,4.6,5 SS Ofav,ÆF/Fm',Shallow
37:09.0,7/19/21,10:37:09,F,811,4,4,113,-,-0.7,149,4.4,5 SS Ofav,ÆF/Fm',Shallow
37:21.0,7/19/21,10:37:21,F,812,449,1155,106,0.611,-0.9,139,4.6,5 SS Ofav,ÆF/Fm',Shallow
37:26.0,7/19/21,10:37:26,F,813,2,4,84,-,-0.9,111,4.6,5 SS Ofav,ÆF/Fm',Shallow
37:32.0,7/19/21,10:37:32,F,814,4,5,76,-,-1.1,100,4.8,5 SS Ofav,ÆF/Fm',Shallow
37:45.0,7/19/21,10:37:45,F,815,341,777,98,0.561,-0.9,129,4.6,5 SS Ofav,ÆF/Fm',Shallow
37:52.0,7/19/21,10:37:52,F,816,3,3,98,-,-0.9,129,4.6,5 SS Ofav,ÆF/Fm',Shallow
38:06.0,7/19/21,10:38:06,F,817,396,851,148,0.535,-1.2,195,4.9,5 SS Ofav,ÆF/Fm',Shallow
38:17.0,7/19/21,10:38:17,F,818,374,928,119,0.597,-1,157,4.7,5 SS Ofav,ÆF/Fm',Shallow
38:22.0,7/19/21,10:38:22,F,819,4,4,173,-,-0.7,228,4.4,5 SS Ofav,ÆF/Fm',Shallow
38:30.0,7/19/21,10:38:30,F,820,368,1160,299,0.683,-1.1,393,4.8,5 SS Ofav,ÆF/Fm',Shallow
38:41.0,7/19/21,10:38:41,F,821,399,1049,326,0.62,-1.1,429,4.8,5 SS Ofav,ÆF/Fm',Shallow
40:58.0,7/19/21,10:40:57,C,,MI=3;SI=10;SW=0.8;AI=1;AW=0:30;AF=1.00;G=2;D=1;EF=0.84;FO=8;CW=1:00;CI=1;LW=0:10;LI=3;ID=0:45;IW=0:20;DO0.0;DG1.00;LO=0;LG=1.12 ,,,,,0,3.7,,ÆF/Fm',Shallow
40:58.0,7/19/21,10:40:58,F,823,4,4,557,-,-1,733,4.7,8 SS Ofav,ÆF/Fm',Shallow
41:07.0,7/19/21,10:41:07,F,824,377,1121,519,0.664,-0.8,683,4.5,8 SS Ofav,ÆF/Fm',Shallow
41:15.0,7/19/21,10:41:15,F,825,331,759,487,0.564,-1,641,4.7,8 SS Ofav,ÆF/Fm',Shallow
41:29.0,7/19/21,10:41:29,F,826,350,815,504,0.571,-1,663,4.7,8 SS Ofav,ÆF/Fm',Shallow
41:36.0,7/19/21,10:41:36,F,827,351,954,578,0.632,-1,761,4.7,8 SS Ofav,ÆF/Fm',Shallow
41:43.0,7/19/21,10:41:43,F,828,4,4,579,-,-1,762,4.7,8 SS Ofav,ÆF/Fm',Shallow
41:52.0,7/19/21,10:41:52,F,829,383,927,571,0.587,-1.2,751,4.9,8 SS Ofav,ÆF/Fm',Shallow
42:10.0,7/19/21,10:42:10,F,830,369,862,547,0.572,-1.3,720,5,8 SS Ofav,ÆF/Fm',Shallow
42:16.0,7/19/21,10:42:16,F,831,3,4,511,-,-1.1,672,4.8,8 SS Ofav,ÆF/Fm',Shallow
42:23.0,7/19/21,10:42:23,F,832,306,765,489,0.6,-1,644,4.7,8 SS Ofav,ÆF/Fm',Shallow
42:28.0,7/19/21,10:42:28,F,833,4,5,508,-,-0.8,669,4.5,8 SS Ofav,ÆF/Fm',Shallow
42:45.0,7/19/21,10:42:45,F,834,376,957,528,0.607,-1.1,695,4.8,8 SS Ofav,ÆF/Fm',Shallow
42:53.0,7/19/21,10:42:53,F,835,374,904,446,0.586,-0.9,587,4.6,8 SS Ofav,ÆF/Fm',Shallow
42:57.0,7/19/21,10:42:57,F,836,4,4,414,-,-1,545,4.7,8 SS Ofav,ÆF/Fm',Shallow
43:03.0,7/19/21,10:43:03,F,837,349,837,414,0.583,-1.1,545,4.8,8 SS Ofav,ÆF/Fm',Shallow
43:08.0,7/19/21,10:43:08,F,838,4,4,467,-,-0.9,615,4.6,8 SS Ofav,ÆF/Fm',Shallow
43:13.0,7/19/21,10:43:13,F,839,5,5,469,-,-1,617,4.7,8 SS Ofav,ÆF/Fm',Shallow
43:20.0,7/19/21,10:43:20,F,840,432,1151,448,0.625,-1,590,4.7,8 SS Ofav,ÆF/Fm',Shallow
43:26.0,7/19/21,10:43:26,F,841,378,936,374,0.596,-1.1,492,4.8,8 SS Ofav,ÆF/Fm',Shallow
43:33.0,7/19/21,10:43:33,F,842,324,742,297,0.563,-0.8,391,4.5,8 SS Ofav,ÆF/Fm',Shallow
43:41.0,7/19/21,10:43:41,F,843,330,813,401,0.594,-0.8,528,4.5,8 SS Ofav,ÆF/Fm',Shallow
43:46.0,7/19/21,10:43:46,F,844,4,4,447,-,-1.1,588,4.8,8 SS Ofav,ÆF/Fm',Shallow
43:53.0,7/19/21,10:43:53,F,845,343,727,465,0.528,-1.2,612,4.9,8 SS Ofav,ÆF/Fm',Shallow
44:00.0,7/19/21,10:44:00,F,846,297,552,433,0.462,-0.9,570,4.6,8 SS Ofav,ÆF/Fm',Shallow
44:06.0,7/19/21,10:44:06,F,847,4,4,388,-,-0.9,511,4.6,8 SS Ofav,ÆF/Fm',Shallow
44:11.0,7/19/21,10:44:11,F,848,4,5,417,-,-0.9,549,4.6,8 SS Ofav,ÆF/Fm',Shallow
44:17.0,7/19/21,10:44:17,F,849,4,4,443,-,-0.9,583,4.6,8 SS Ofav,ÆF/Fm',Shallow
44:25.0,7/19/21,10:44:25,F,850,356,776,441,0.541,-1,580,4.7,8 SS Ofav,ÆF/Fm',Shallow
44:32.0,7/19/21,10:44:32,F,851,4,5,508,-,-1,669,4.7,8 SS Ofav,ÆF/Fm',Shallow
44:38.0,7/19/21,10:44:38,F,852,4,5,575,-,-1,757,4.7,8 SS Ofav,ÆF/Fm',Shallow
44:58.0,7/19/21,10:44:58,F,853,443,1326,545,0.666,-0.8,717,4.5,8 SS Ofav,ÆF/Fm',Shallow
45:08.0,7/19/21,10:45:08,F,854,294,629,523,0.533,-0.5,688,4.2,8 SS Ofav,ÆF/Fm',Shallow
45:14.0,7/19/21,10:45:14,F,855,4,5,555,-,-1,730,4.7,8 SS Ofav,ÆF/Fm',Shallow
45:19.0,7/19/21,10:45:19,F,856,5,5,601,-,-0.8,791,4.5,8 SS Ofav,ÆF/Fm',Shallow
45:29.0,7/19/21,10:45:29,F,857,406,1153,632,0.648,-0.8,832,4.5,8 SS Ofav,ÆF/Fm',Shallow
45:35.0,7/19/21,10:45:35,F,858,5,5,621,-,-0.7,817,4.4,8 SS Ofav,ÆF/Fm',Shallow
45:47.0,7/19/21,10:45:47,F,859,388,910,532,0.574,-0.9,700,4.6,8 SS Ofav,ÆF/Fm',Shallow
45:53.0,7/19/21,10:45:53,F,860,416,1139,424,0.635,-0.9,558,4.6,8 SS Ofav,ÆF/Fm',Shallow
45:59.0,7/19/21,10:45:59,F,861,4,4,403,-,-0.9,530,4.6,8 SS Ofav,ÆF/Fm',Shallow
46:11.0,7/19/21,10:46:11,F,862,459,1173,451,0.609,-1,594,4.7,8 SS Ofav,ÆF/Fm',Shallow
16:50.0,7/19/21,11:16:49,C,,MI=3;SI=10;SW=0.8;AI=1;AW=0:30;AF=1.00;G=2;D=1;EF=0.84;FO=10;CW=1:00;CI=1;LW=0:10;LI=3;ID=0:45;IW=0:20;DO0.0;DG1.00;LO=0;LG=1.12 ,,,,,0,3.7,,ÆF/Fm',Shallow
16:50.0,7/19/21,11:16:50,F,864,470,1346,130,0.651,-10.6,171,14.3,8 PP Ofav,ÆF/Fm',Intermediate
16:56.0,7/19/21,11:16:56,F,865,471,1534,116,0.693,-10.5,153,14.2,8 PP Ofav,ÆF/Fm',Intermediate
17:02.0,7/19/21,11:17:02,F,866,454,1344,128,0.662,-10.5,168,14.2,8 PP Ofav,ÆF/Fm',Intermediate
17:08.0,7/19/21,11:17:08,F,867,634,1745,122,0.637,-10.5,161,14.2,8 PP Ofav,ÆF/Fm',Intermediate
17:15.0,7/19/21,11:17:15,F,868,418,1271,99,0.671,-10.5,130,14.2,8 PP Ofav,ÆF/Fm',Intermediate
17:22.0,7/19/21,11:17:22,F,869,519,1550,93,0.665,-10.4,122,14.1,8 PP Ofav,ÆF/Fm',Intermediate
17:28.0,7/19/21,11:17:28,F,870,502,1471,103,0.659,-10.5,136,14.2,8 PP Ofav,ÆF/Fm',Intermediate
17:34.0,7/19/21,11:17:34,F,871,515,1400,87,0.632,-10.6,114,14.3,8 PP Ofav,ÆF/Fm',Intermediate
17:41.0,7/19/21,11:17:41,F,872,616,1538,64,0.599,-10.6,84,14.3,8 PP Ofav,ÆF/Fm',Intermediate
17:54.0,7/19/21,11:17:54,F,873,471,1514,57,0.689,-10.7,75,14.4,8 PP Ofav,ÆF/Fm',Intermediate
18:02.0,7/19/21,11:18:02,F,874,445,678,69,0.344,-10.6,91,14.3,8 PP Ofav,ÆF/Fm',Intermediate
18:08.0,7/19/21,11:18:08,F,875,413,1278,73,0.677,-10.7,96,14.4,8 PP Ofav,ÆF/Fm',Intermediate
18:14.0,7/19/21,11:18:14,F,876,455,1331,75,0.658,-10.7,99,14.4,8 PP Ofav,ÆF/Fm',Intermediate
18:20.0,7/19/21,11:18:20,F,877,381,1092,70,0.651,-10.7,92,14.4,8 PP Ofav,ÆF/Fm',Intermediate
18:28.0,7/19/21,11:18:28,F,878,393,1098,63,0.642,-10.7,83,14.4,8 PP Ofav,ÆF/Fm',Intermediate
18:36.0,7/19/21,11:18:36,F,879,501,1579,61,0.683,-10.5,80,14.2,8 PP Ofav,ÆF/Fm',Intermediate
18:49.0,7/19/21,11:18:49,F,880,622,1538,124,0.596,-10.5,163,14.2,8 PP Ofav,ÆF/Fm',Intermediate
18:55.0,7/19/21,11:18:55,F,881,460,1332,154,0.655,-10.6,203,14.3,8 PP Ofav,ÆF/Fm',Intermediate
19:01.0,7/19/21,11:19:01,F,882,434,1229,142,0.647,-10.6,187,14.3,8 PP Ofav,ÆF/Fm',Intermediate
19:07.0,7/19/21,11:19:07,F,883,386,1008,137,0.617,-10.5,180,14.2,8 PP Ofav,ÆF/Fm',Intermediate
19:15.0,7/19/21,11:19:15,F,884,515,1394,126,0.631,-10.5,166,14.2,8 PP Ofav,ÆF/Fm',Intermediate
19:26.0,7/19/21,11:19:26,F,885,447,1153,124,0.612,-10.4,163,14.1,8 PP Ofav,ÆF/Fm',Intermediate
19:34.0,7/19/21,11:19:34,F,886,434,1154,140,0.624,-10.5,184,14.2,8 PP Ofav,ÆF/Fm',Intermediate
19:41.0,7/19/21,11:19:41,F,887,496,1553,134,0.681,-10.5,176,14.2,8 PP Ofav,ÆF/Fm',Intermediate
19:48.0,7/19/21,11:19:48,F,888,423,1239,143,0.659,-10.5,188,14.2,8 PP Ofav,ÆF/Fm',Intermediate
19:55.0,7/19/21,11:19:55,F,889,471,1477,155,0.681,-10.5,204,14.2,8 PP Ofav,ÆF/Fm',Intermediate
20:01.0,7/19/21,11:20:01,F,890,539,1247,162,0.568,-10.5,213,14.2,8 PP Ofav,ÆF/Fm',Intermediate
20:05.0,7/19/21,11:20:05,F,891,0,1,163,-,-10.4,215,14.1,8 PP Ofav,ÆF/Fm',Intermediate
20:12.0,7/19/21,11:20:12,F,892,510,1527,157,0.666,-10.5,207,14.2,8 PP Ofav,ÆF/Fm',Intermediate
20:18.0,7/19/21,11:20:18,F,893,529,1759,150,0.699,-10.5,197,14.2,8 PP Ofav,ÆF/Fm',Intermediate
20:25.0,7/19/21,11:20:25,F,894,478,1496,150,0.68,-10.4,197,14.1,8 PP Ofav,ÆF/Fm',Intermediate
20:31.0,7/19/21,11:20:31,F,895,383,1187,151,0.677,-10.5,199,14.2,8 PP Ofav,ÆF/Fm',Intermediate
20:36.0,7/19/21,11:20:36,F,896,0,1,146,-,-10.4,192,14.1,8 PP Ofav,ÆF/Fm',Intermediate
20:41.0,7/19/21,11:20:41,F,897,0,2,143,-,-10.5,188,14.2,8 PP Ofav,ÆF/Fm',Intermediate
20:49.0,7/19/21,11:20:49,F,898,441,1317,136,0.665,-10.5,179,14.2,8 PP Ofav,ÆF/Fm',Intermediate
20:58.0,7/19/21,11:20:58,F,899,228,598,131,0.619,-10.4,172,14.1,8 PP Ofav,ÆF/Fm',Intermediate
21:05.0,7/19/21,11:21:05,F,900,464,1283,118,0.638,-10.4,155,14.1,8 PP Ofav,ÆF/Fm',Intermediate
21:10.0,7/19/21,11:21:10,F,901,498,1377,115,0.638,-10.5,151,14.2,8 PP Ofav,ÆF/Fm',Intermediate
21:16.0,7/19/21,11:21:16,F,902,407,987,127,0.588,-10.6,167,14.3,8 PP Ofav,ÆF/Fm',Intermediate
21:25.0,7/19/21,11:21:25,F,903,448,1447,145,0.69,-10.5,191,14.2,8 PP Ofav,ÆF/Fm',Intermediate
23:44.0,7/19/21,11:23:43,C,,MI=3;SI=10;SW=0.8;AI=1;AW=0:30;AF=1.00;G=2;D=1;EF=0.84;FO=8;CW=1:00;CI=1;LW=0:10;LI=3;ID=0:45;IW=0:20;DO0.0;DG1.00;LO=0;LG=1.12 ,,,,,0,3.7,,ÆF/Fm',Intermediate
23:44.0,7/19/21,11:23:44,F,905,479,1511,187,0.683,-10.3,246,14,6 PP Ofav,ÆF/Fm',Intermediate
23:50.0,7/19/21,11:23:50,F,906,429,1298,181,0.669,-10.2,238,13.9,6 PP Ofav,ÆF/Fm',Intermediate
23:56.0,7/19/21,11:23:56,F,907,444,1197,171,0.629,-10.3,225,14,6 PP Ofav,ÆF/Fm',Intermediate
24:03.0,7/19/21,11:24:03,F,908,648,1534,159,0.578,-10.3,209,14,6 PP Ofav,ÆF/Fm',Intermediate
24:09.0,7/19/21,11:24:09,F,909,480,1425,153,0.663,-10.3,201,14,6 PP Ofav,ÆF/Fm',Intermediate
24:15.0,7/19/21,11:24:15,F,910,408,1133,159,0.64,-10.2,209,13.9,6 PP Ofav,ÆF/Fm',Intermediate
24:21.0,7/19/21,11:24:21,F,911,419,1011,149,0.586,-10.1,196,13.8,6 PP Ofav,ÆF/Fm',Intermediate
24:30.0,7/19/21,11:24:30,F,912,505,1316,125,0.616,-10.2,165,13.9,6 PP Ofav,ÆF/Fm',Intermediate
24:40.0,7/19/21,11:24:40,F,913,551,1424,167,0.613,-10.1,220,13.8,6 PP Ofav,ÆF/Fm',Intermediate
24:46.0,7/19/21,11:24:46,F,914,469,1471,176,0.681,-10.2,232,13.9,6 PP Ofav,ÆF/Fm',Intermediate
24:52.0,7/19/21,11:24:52,F,915,478,1278,173,0.626,-10.1,228,13.8,6 PP Ofav,ÆF/Fm',Intermediate
25:02.0,7/19/21,11:25:02,F,916,371,1135,179,0.673,-10,236,13.7,6 PP Ofav,ÆF/Fm',Intermediate
25:08.0,7/19/21,11:25:08,F,917,412,1146,176,0.64,-10,232,13.7,6 PP Ofav,ÆF/Fm',Intermediate
25:14.0,7/19/21,11:25:14,F,918,504,1122,170,0.551,-10.1,224,13.8,6 PP Ofav,ÆF/Fm',Intermediate
25:20.0,7/19/21,11:25:20,F,919,423,1111,169,0.619,-10,222,13.7,6 PP Ofav,ÆF/Fm',Intermediate
25:30.0,7/19/21,11:25:30,F,920,493,1333,169,0.63,-10.1,222,13.8,6 PP Ofav,ÆF/Fm',Intermediate
25:37.0,7/19/21,11:25:37,F,921,664,1542,165,0.569,-10.2,217,13.9,6 PP Ofav,ÆF/Fm',Intermediate
25:42.0,7/19/21,11:25:42,F,922,476,1280,163,0.628,-10,215,13.7,6 PP Ofav,ÆF/Fm',Intermediate
25:47.0,7/19/21,11:25:47,F,923,464,1310,166,0.646,-10.1,218,13.8,6 PP Ofav,ÆF/Fm',Intermediate
25:53.0,7/19/21,11:25:53,F,924,416,1107,168,0.624,-10.2,221,13.9,6 PP Ofav,ÆF/Fm',Intermediate
25:59.0,7/19/21,11:25:59,F,925,483,1536,164,0.686,-10.2,216,13.9,6 PP Ofav,ÆF/Fm',Intermediate
26:05.0,7/19/21,11:26:05,F,926,437,1161,154,0.624,-10.3,203,14,6 PP Ofav,ÆF/Fm',Intermediate
26:11.0,7/19/21,11:26:11,F,927,189,478,140,0.605,-10.4,184,14.1,6 PP Ofav,ÆF/Fm',Intermediate
26:19.0,7/19/21,11:26:19,F,928,519,1407,136,0.631,-10.3,179,14,6 PP Ofav,ÆF/Fm',Intermediate
26:24.0,7/19/21,11:26:24,F,929,508,1324,138,0.616,-10.2,182,13.9,6 PP Ofav,ÆF/Fm',Intermediate
26:30.0,7/19/21,11:26:30,F,930,461,1411,152,0.673,-10.3,200,14,6 PP Ofav,ÆF/Fm',Intermediate
26:38.0,7/19/21,11:26:38,F,931,453,984,152,0.54,-10.3,200,14,6 PP Ofav,ÆF/Fm',Intermediate
26:48.0,7/19/21,11:26:48,F,932,591,1411,157,0.581,-10.2,207,13.9,6 PP Ofav,ÆF/Fm',Intermediate
26:53.0,7/19/21,11:26:53,F,933,551,1542,167,0.643,-10.2,220,13.9,6 PP Ofav,ÆF/Fm',Intermediate
26:57.0,7/19/21,11:26:57,F,934,520,1533,170,0.661,-10,224,13.7,6 PP Ofav,ÆF/Fm',Intermediate
27:01.0,7/19/21,11:27:01,F,935,4,3,172,-,-10.2,226,13.9,6 PP Ofav,ÆF/Fm',Intermediate
27:09.0,7/19/21,11:27:09,F,936,396,1245,168,0.682,-10.2,221,13.9,6 PP Ofav,ÆF/Fm',Intermediate
27:15.0,7/19/21,11:27:15,F,937,467,1328,152,0.648,-10.2,200,13.9,6 PP Ofav,ÆF/Fm',Intermediate
27:19.0,7/19/21,11:27:19,F,938,2,3,148,-,-10.3,195,14,6 PP Ofav,ÆF/Fm',Intermediate
27:29.0,7/19/21,11:27:29,F,939,475,1261,145,0.623,-10.2,191,13.9,6 PP Ofav,ÆF/Fm',Intermediate
27:34.0,7/19/21,11:27:34,F,940,1,2,143,-,-10.3,188,14,6 PP Ofav,ÆF/Fm',Intermediate
27:42.0,7/19/21,11:27:42,F,941,436,1281,148,0.66,-10.2,195,13.9,6 PP Ofav,ÆF/Fm',Intermediate
27:50.0,7/19/21,11:27:50,F,942,455,1268,138,0.641,-10.2,182,13.9,6 PP Ofav,ÆF/Fm',Intermediate
27:56.0,7/19/21,11:27:56,F,943,347,929,127,0.626,-10.3,167,14,6 PP Ofav,ÆF/Fm',Intermediate
28:03.0,7/19/21,11:28:03,F,944,495,1326,132,0.627,-10.2,174,13.9,6 PP Ofav,ÆF/Fm',Intermediate
31:20.0,7/19/21,11:31:20,F,945,442,1492,112,0.704,-13.9,147,17.6,Ssid,ÆF/Fm',Gradient
32:05.0,7/19/21,11:32:05,F,946,439,1478,92,0.703,-14,121,17.7,Ofav,ÆF/Fm',Gradient
32:43.0,7/19/21,11:32:43,F,947,458,1546,103,0.704,-13.1,136,16.8,Past,ÆF/Fm',Gradient
33:03.0,7/19/21,11:33:03,F,948,466,1457,88,0.68,-13.2,116,16.9,Past,ÆF/Fm',Gradient
33:29.0,7/19/21,11:33:29,F,949,305,1032,61,0.704,-12.8,80,16.5,Agar,ÆF/Fm',Gradient
33:50.0,7/19/21,11:33:50,F,950,493,1481,60,0.667,-12.4,79,16.1,Past,ÆF/Fm',Gradient
34:15.0,7/19/21,11:34:15,F,951,444,1437,199,0.691,-11.5,262,15.2,Ofra,ÆF/Fm',Gradient
34:46.0,7/19/21,11:34:46,F,952,602,1855,174,0.675,-11.2,229,14.9,Past,ÆF/Fm',Gradient
35:04.0,7/19/21,11:35:04,F,953,482,1500,217,0.679,-10.7,286,14.4,Past,ÆF/Fm',Gradient
35:26.0,7/19/21,11:35:26,F,954,358,1160,203,0.691,-11.1,267,14.8,Cnat,ÆF/Fm',Gradient
35:48.0,7/19/21,11:35:48,F,955,429,1359,168,0.684,-11,221,14.7,Ofra,ÆF/Fm',Gradient
36:13.0,7/19/21,11:36:13,F,956,455,1451,185,0.686,-10.9,243,14.6,Ofav,ÆF/Fm',Gradient
36:35.0,7/19/21,11:36:35,F,957,319,1157,180,0.724,-10.8,237,14.5,Agar,ÆF/Fm',Gradient
37:01.0,7/19/21,11:37:01,F,958,355,1138,262,0.688,-9.6,345,13.3,Aaga,ÆF/Fm',Gradient
37:21.0,7/19/21,11:37:21,F,959,418,1149,264,0.636,-9.4,347,13.1,Past,ÆF/Fm',Gradient
37:31.0,7/19/21,11:37:31,F,960,310,993,273,0.688,-9.3,359,13,Ofav,ÆF/Fm',Gradient
37:43.0,7/19/21,11:37:43,F,961,357,1207,266,0.704,-9,350,12.7,Ofra,ÆF/Fm',Gradient
38:04.0,7/19/21,11:38:04,F,962,415,1249,268,0.668,-9,353,12.7,Ssid,ÆF/Fm',Gradient
38:16.0,7/19/21,11:38:16,F,963,350,1051,264,0.667,-8.9,347,12.6,Pstr,ÆF/Fm',Gradient
38:38.0,7/19/21,11:38:38,F,964,273,749,311,0.636,-8.7,409,12.4,Myce,ÆF/Fm',Gradient
38:59.0,7/19/21,11:38:59,F,965,331,982,323,0.663,-8.2,425,11.9,Cnat,ÆF/Fm',Gradient
39:13.0,7/19/21,11:39:13,F,966,356,1103,351,0.677,-7.9,462,11.6,Agar,ÆF/Fm',Gradient
39:28.0,7/19/21,11:39:28,F,967,333,1054,385,0.684,-7.3,507,11,Ofav,ÆF/Fm',Gradient
39:36.0,7/19/21,11:39:36,F,968,333,1034,416,0.678,-7.1,547,10.8,Pstr,ÆF/Fm',Gradient
40:32.0,7/19/21,11:40:32,F,969,372,1251,424,0.703,-6.8,558,10.5,Ofav,ÆF/Fm',Gradient
40:46.0,7/19/21,11:40:46,F,970,403,1185,464,0.66,-6.7,611,10.4,Mcav,ÆF/Fm',Gradient
41:35.0,7/19/21,11:41:35,F,971,330,978,492,0.663,-5.8,647,9.5,Ofav,ÆF/Fm',Gradient
42:18.0,7/19/21,11:42:18,F,972,321,936,568,0.657,-5.5,747,9.2,Ssid,ÆF/Fm',Gradient
42:28.0,7/19/21,11:42:28,F,973,465,1219,520,0.619,-5.3,684,9,Pstr,ÆF/Fm',Gradient
43:14.0,7/19/21,11:43:14,F,974,349,1066,683,0.673,-4.4,899,8.1,Ofav,ÆF/Fm',Gradient
43:41.0,7/19/21,11:43:41,F,975,359,1100,518,0.674,-4.2,682,7.9,Mcav,ÆF/Fm',Gradient
44:32.0,7/19/21,11:44:32,F,976,306,840,817,0.636,-3,1075,6.7,Ofav,ÆF/Fm',Gradient
